# PhaseCorrector Test Curve - Simulated All-Pass Filter Response
# Format: log10(frequency);normalizedPhase (-1.0 to +1.0)
# This simulates a smooth phase rotation typical of all-pass filters
1.301030;0.000000
1.350000;0.005000
1.400000;0.012000
1.450000;0.020000
1.500000;0.030000
1.550000;0.042000
1.600000;0.055000
1.650000;0.070000
1.700000;0.087000
1.750000;0.105000
1.800000;0.125000
1.850000;0.147000
1.900000;0.170000
1.950000;0.195000
2.000000;0.222000
2.050000;0.250000
2.100000;0.280000
2.150000;0.311000
2.200000;0.343000
2.250000;0.376000
2.300000;0.410000
2.350000;0.444000
2.400000;0.478000
2.450000;0.512000
2.500000;0.545000
2.550000;0.577000
2.600000;0.607000
2.650000;0.635000
2.700000;0.661000
2.750000;0.684000
2.800000;0.705000
2.850000;0.723000
2.900000;0.738000
2.950000;0.751000
3.000000;0.762000
3.050000;0.770000
3.100000;0.776000
3.150000;0.780000
3.200000;0.783000
3.250000;0.784000
3.300000;0.784000
3.350000;0.782000
3.400000;0.779000
3.450000;0.775000
3.500000;0.770000
3.550000;0.764000
3.600000;0.756000
3.650000;0.747000
3.700000;0.737000
3.750000;0.726000
3.800000;0.714000
3.850000;0.701000
3.900000;0.687000
3.950000;0.672000
4.000000;0.656000
4.050000;0.639000
4.100000;0.621000
4.150000;0.602000
4.200000;0.582000
4.250000;0.561000
4.301030;0.540000
